============================================================
<class 'transformers.tokenization_dna.DNATokenizer'>
============================================================
<class 'transformers.tokenization_dna.DNATokenizer'>
finish loading examples
number of processes for converting feature: 2
1 processor started !
2 processor started !
{"eval_acc": 0.030303030303030304, "eval_top10acc": 0.32222222222222224, "eval_f1": 0.01842216099607525, "eval_mcc": -0.003359709381043828, "eval_auc": 0.48804238835586794, "eval_precision": 0.052895720519902704, "eval_recall": 0.0303030303030303, "learning_rate": 1.7241379310344828e-05, "loss": 3.42753427028656, "step": 10}
{"eval_acc": 0.37777777777777777, "eval_top10acc": 0.8494949494949495, "eval_f1": 0.3679685943633535, "eval_mcc": 0.35943059805456956, "eval_auc": 0.8774305225715884, "eval_precision": 0.4284457229332466, "eval_recall": 0.3777777777777778, "learning_rate": 0.0001572926596758818, "loss": 2.2517096996307373, "step": 340}
{"eval_acc": 0.36666666666666664, "eval_top10acc": 0.8535353535353535, "eval_f1": 0.3491035853243183, "eval_mcc": 0.3469611105761187, "eval_auc": 0.8790781376988274, "eval_precision": 0.37517589422077324, "eval_recall": 0.36666666666666675, "learning_rate": 0.00015538608198284082, "loss": 2.151235580444336, "step": 350}
{"eval_acc": 0.38585858585858585, "eval_top10acc": 0.8484848484848485, "eval_f1": 0.3572581456873196, "eval_mcc": 0.3676123685040786, "eval_auc": 0.8782833560263027, "eval_precision": 0.40785919630045897, "eval_recall": 0.38585858585858585, "learning_rate": 0.00015347950428979982, "loss": 2.08545458316803, "step": 360}
{"eval_acc": 0.35858585858585856, "eval_top10acc": 0.8565656565656565, "eval_f1": 0.33634083513335944, "eval_mcc": 0.3387643037351367, "eval_auc": 0.8761438839808745, "eval_precision": 0.4025415933402237, "eval_recall": 0.3585858585858586, "learning_rate": 0.00015157292659675884, "loss": 2.058544564247131, "step": 370}
{"eval_acc": 0.36262626262626263, "eval_top10acc": 0.8606060606060606, "eval_f1": 0.33619816320061724, "eval_mcc": 0.34589264054153324, "eval_auc": 0.8817474641926052, "eval_precision": 0.36552748855239653, "eval_recall": 0.36262626262626263, "learning_rate": 0.00014966634890371783, "loss": 2.0128318667411804, "step": 380}
{"eval_acc": 0.37777777777777777, "eval_top10acc": 0.8767676767676768, "eval_f1": 0.36369531449779297, "eval_mcc": 0.35963729849765147, "eval_auc": 0.8887189554901154, "eval_precision": 0.42180565918507823, "eval_recall": 0.3777777777777779, "learning_rate": 0.00014775977121067683, "loss": 2.157104468345642, "step": 390}
{"eval_acc": 0.36262626262626263, "eval_top10acc": 0.8636363636363636, "eval_f1": 0.3446198808372364, "eval_mcc": 0.3440102410032991, "eval_auc": 0.8824620288570132, "eval_precision": 0.3927472395474008, "eval_recall": 0.3626262626262627, "learning_rate": 0.00014585319351763585, "loss": 2.2135591387748716, "step": 400}
{"eval_acc": 0.3696969696969697, "eval_top10acc": 0.8373737373737373, "eval_f1": 0.3411579355508544, "eval_mcc": 0.3523662613062686, "eval_auc": 0.8834056341893333, "eval_precision": 0.4167870189312189, "eval_recall": 0.3696969696969698, "learning_rate": 0.00014394661582459484, "loss": 2.078430736064911, "step": 410}
{"eval_acc": 0.402020202020202, "eval_top10acc": 0.8777777777777778, "eval_f1": 0.3724761287226555, "eval_mcc": 0.38463978659833425, "eval_auc": 0.8921112905438924, "eval_precision": 0.3884763292306771, "eval_recall": 0.402020202020202, "learning_rate": 0.00014204003813155387, "loss": 1.9816104769706726, "step": 420}
{"eval_acc": 0.41919191919191917, "eval_top10acc": 0.8636363636363636, "eval_f1": 0.39222976453274894, "eval_mcc": 0.4019431379638866, "eval_auc": 0.8962804639920628, "eval_precision": 0.41034105737744364, "eval_recall": 0.4191919191919192, "learning_rate": 0.0001401334604385129, "loss": 2.076677131652832, "step": 430}
{"eval_acc": 0.41515151515151516, "eval_top10acc": 0.8717171717171717, "eval_f1": 0.39905316713360967, "eval_mcc": 0.3970257651254734, "eval_auc": 0.894960049818984, "eval_precision": 0.45253148772565943, "eval_recall": 0.4151515151515152, "learning_rate": 0.00013822688274547188, "loss": 2.064986491203308, "step": 440}
{"eval_acc": 0.402020202020202, "eval_top10acc": 0.8696969696969697, "eval_f1": 0.36817577456791567, "eval_mcc": 0.3839492036259353, "eval_auc": 0.8938517885226349, "eval_precision": 0.3812567101250265, "eval_recall": 0.402020202020202, "learning_rate": 0.0001363203050524309, "loss": 1.9495388984680175, "step": 450}
{"eval_acc": 0.40505050505050505, "eval_top10acc": 0.8595959595959596, "eval_f1": 0.39087112922122685, "eval_mcc": 0.38712979672602155, "eval_auc": 0.8913840600360975, "eval_precision": 0.43664445629620613, "eval_recall": 0.40505050505050505, "learning_rate": 0.0001344137273593899, "loss": 1.9723049879074097, "step": 460}
{"eval_acc": 0.39494949494949494, "eval_top10acc": 0.8767676767676768, "eval_f1": 0.38871061582758565, "eval_mcc": 0.37847050848821967, "eval_auc": 0.8943478673886197, "eval_precision": 0.46145147485819143, "eval_recall": 0.39494949494949505, "learning_rate": 0.00013250714966634892, "loss": 1.86723895072937, "step": 470}
{"eval_acc": 0.40505050505050505, "eval_top10acc": 0.8565656565656565, "eval_f1": 0.3853945258847476, "eval_mcc": 0.3871215141207903, "eval_auc": 0.8953685232682098, "eval_precision": 0.4306068749164973, "eval_recall": 0.40505050505050516, "learning_rate": 0.00013060057197330794, "loss": 1.7874869585037232, "step": 480}
{"eval_acc": 0.41414141414141414, "eval_top10acc": 0.8808080808080808, "eval_f1": 0.39870761249547226, "eval_mcc": 0.39654207705600564, "eval_auc": 0.8974488880444994, "eval_precision": 0.4578088392333895, "eval_recall": 0.41414141414141425, "learning_rate": 0.0001286939942802669, "loss": 1.8932182550430299, "step": 490}
{"eval_acc": 0.41919191919191917, "eval_top10acc": 0.8949494949494949, "eval_f1": 0.3892261054400053, "eval_mcc": 0.4022234740635916, "eval_auc": 0.902404399269603, "eval_precision": 0.424971005293827, "eval_recall": 0.4191919191919192, "learning_rate": 0.00012678741658722593, "loss": 1.8281009912490844, "step": 500}
{"eval_acc": 0.40606060606060607, "eval_top10acc": 0.8848484848484849, "eval_f1": 0.40035752830959676, "eval_mcc": 0.3874401638908359, "eval_auc": 0.8992748804661032, "eval_precision": 0.43091860519542574, "eval_recall": 0.40606060606060607, "learning_rate": 0.00012488083889418495, "loss": 1.7515881419181825, "step": 510}
{"eval_acc": 0.4080808080808081, "eval_top10acc": 0.8797979797979798, "eval_f1": 0.37905780663122435, "eval_mcc": 0.3916983321736169, "eval_auc": 0.901801716221779, "eval_precision": 0.42888685837381185, "eval_recall": 0.40808080808080816, "learning_rate": 0.00012297426120114394, "loss": 1.6151181221008302, "step": 520}
{"eval_acc": 0.4171717171717172, "eval_top10acc": 0.8818181818181818, "eval_f1": 0.3958233614318377, "eval_mcc": 0.3995036548305543, "eval_auc": 0.9016750577879105, "eval_precision": 0.44752362719746386, "eval_recall": 0.41717171717171714, "learning_rate": 0.00012106768350810295, "loss": 1.840229058265686, "step": 530}
{"eval_acc": 0.42525252525252527, "eval_top10acc": 0.8909090909090909, "eval_f1": 0.40392318889743234, "eval_mcc": 0.40745740226205523, "eval_auc": 0.9041438417613966, "eval_precision": 0.4274817477925717, "eval_recall": 0.4252525252525252, "learning_rate": 0.00011916110581506197, "loss": 1.851548707485199, "step": 540}
{"eval_acc": 0.4303030303030303, "eval_top10acc": 0.8818181818181818, "eval_f1": 0.41176141799633714, "eval_mcc": 0.4121233503547107, "eval_auc": 0.9052626579272349, "eval_precision": 0.441512184701687, "eval_recall": 0.43030303030303035, "learning_rate": 0.00011725452812202098, "loss": 1.7624274015426635, "step": 550}
{"eval_acc": 0.3939393939393939, "eval_top10acc": 0.8717171717171717, "eval_f1": 0.36471668386879685, "eval_mcc": 0.3780321777941184, "eval_auc": 0.8996136917767011, "eval_precision": 0.3838190998829314, "eval_recall": 0.3939393939393939, "learning_rate": 0.00011534795042897999, "loss": 1.6991703510284424, "step": 560}
