============================================================
<class 'transformers.tokenization_dna.DNATokenizer'>
finish loading examples
number of processes for converting feature: 8
1 processor started !
2 processor started !
3 processor started !
4 processor started !
5 processor started !
6 processor started !
7 processor started !
8 processor started !
finish loading examples
number of processes for converting feature: 2
1 processor started !
2 processor started !
{"eval_acc": 0.504, "eval_f1": 0.503037881338271, "eval_mcc": 0.008213348053582646, "eval_auc": 0.5198820795283181, "eval_precision": 0.5041233995362435, "eval_recall": 0.5040900163600655, "learning_rate": 3.0395136778115506e-06, "loss": 0.6928141951560974, "step": 10}
{"eval_acc": 0.84, "eval_f1": 0.8387512899896801, "eval_mcc": 0.690181629767903, "eval_auc": 0.8895715582862331, "eval_precision": 0.8504357941022394, "eval_recall": 0.8398273593094372, "learning_rate": 4.2553191489361704e-05, "loss": 0.4216246545314789, "step": 140}
{"eval_acc": 0.83, "eval_f1": 0.8279178054458953, "eval_mcc": 0.6758196126506454, "eval_auc": 0.8828835315341261, "eval_precision": 0.8462365455927499, "eval_recall": 0.8297833191332766, "learning_rate": 4.559270516717326e-05, "loss": 0.3698057919740677, "step": 150}
{"eval_acc": 0.851, "eval_f1": 0.8498103477646438, "eval_mcc": 0.7127757134748796, "eval_auc": 0.9046156184624738, "eval_precision": 0.8620385047222773, "eval_recall": 0.8508254033016132, "learning_rate": 4.863221884498481e-05, "loss": 0.4623842269182205, "step": 160}
{"eval_acc": 0.846, "eval_f1": 0.8458001570034765, "eval_mcc": 0.6935626990072511, "eval_auc": 0.9067196268785075, "eval_precision": 0.8476334036780223, "eval_recall": 0.8459313837255349, "learning_rate": 5.1671732522796354e-05, "loss": 0.3252334430813789, "step": 170}
{"eval_acc": 0.832, "eval_f1": 0.831999327997312, "eval_mcc": 0.6640252805906087, "eval_auc": 0.9092676370705483, "eval_precision": 0.8320179526462953, "eval_recall": 0.8320073280293121, "learning_rate": 5.47112462006079e-05, "loss": 0.3269903615117073, "step": 180}
{"eval_acc": 0.816, "eval_f1": 0.8159933757615274, "eval_mcc": 0.632091212034171, "eval_auc": 0.8995555982223928, "eval_precision": 0.8160759508863737, "eval_recall": 0.8160152640610563, "learning_rate": 5.775075987841946e-05, "loss": 0.3247069835662842, "step": 190}
{"eval_acc": 0.831, "eval_f1": 0.8304096560125798, "eval_mcc": 0.6670615837447114, "eval_auc": 0.9311957247828991, "eval_precision": 0.8359577922077922, "eval_recall": 0.831121324485298, "learning_rate": 6.0790273556231004e-05, "loss": 0.3165235862135887, "step": 200}
{"eval_acc": 0.858, "eval_f1": 0.8578544429495805, "eval_mcc": 0.7176982851178816, "eval_auc": 0.9404997619990481, "eval_precision": 0.8596325594288722, "eval_recall": 0.858067432269729, "learning_rate": 6.382978723404256e-05, "loss": 0.2882897242903709, "step": 210}
{"eval_acc": 0.89, "eval_f1": 0.889992959549411, "eval_mcc": 0.7800500085956895, "eval_auc": 0.9503678014712058, "eval_precision": 0.8900624522406391, "eval_recall": 0.8899875599502398, "learning_rate": 6.686930091185411e-05, "loss": 0.28136303573846816, "step": 220}
{"eval_acc": 0.904, "eval_f1": 0.9038303567493057, "eval_mcc": 0.8105673394774686, "eval_auc": 0.9545518182072728, "eval_precision": 0.9066523302687268, "eval_recall": 0.9039196156784627, "learning_rate": 6.990881458966565e-05, "loss": 0.23546529188752174, "step": 230}
{"eval_acc": 0.917, "eval_f1": 0.916999252993277, "eval_mcc": 0.8340443578835007, "eval_auc": 0.964059856239425, "eval_precision": 0.917034690220174, "eval_recall": 0.9170096680386721, "learning_rate": 7.29483282674772e-05, "loss": 0.2513130776584148, "step": 240}
{"eval_acc": 0.884, "eval_f1": 0.8836607547608828, "eval_mcc": 0.7729118848329872, "eval_auc": 0.9646478585914343, "eval_precision": 0.8888146573539832, "eval_recall": 0.8841115364461458, "learning_rate": 7.598784194528876e-05, "loss": 0.3070539444684982, "step": 250}
{"eval_acc": 0.896, "eval_f1": 0.895816219811748, "eval_mcc": 0.7951193927715449, "eval_auc": 0.9638318553274212, "eval_precision": 0.8990372797208152, "eval_recall": 0.8960875843503374, "learning_rate": 7.90273556231003e-05, "loss": 0.347641322016716, "step": 260}
{"eval_acc": 0.926, "eval_f1": 0.9258291102700622, "eval_mcc": 0.8556021411154594, "eval_auc": 0.9621398485593943, "eval_precision": 0.9297028544216699, "eval_recall": 0.9259077036308145, "learning_rate": 8.206686930091185e-05, "loss": 0.2605386823415756, "step": 270}
{"eval_acc": 0.915, "eval_f1": 0.9146167144310811, "eval_mcc": 0.8370621911514705, "eval_auc": 0.9588078352313408, "eval_precision": 0.9222248457116803, "eval_recall": 0.9148696594786379, "learning_rate": 8.510638297872341e-05, "loss": 0.2543180130422115, "step": 280}
{"eval_acc": 0.919, "eval_f1": 0.9189006533002928, "eval_mcc": 0.8398095651876634, "eval_auc": 0.9641598566394266, "eval_precision": 0.9208781405217726, "eval_recall": 0.9189336757347029, "learning_rate": 8.814589665653495e-05, "loss": 0.2548808194696903, "step": 290}
{"eval_acc": 0.921, "eval_f1": 0.9206220817311218, "eval_mcc": 0.8496236753933926, "eval_auc": 0.9716718866875468, "eval_precision": 0.9287949921752738, "eval_recall": 0.9208656834627338, "learning_rate": 9.118541033434651e-05, "loss": 0.2837136685848236, "step": 300}
{"eval_acc": 0.937, "eval_f1": 0.9368832972165533, "eval_mcc": 0.8769330442869651, "eval_auc": 0.9710958843835376, "eval_precision": 0.9400207866707488, "eval_recall": 0.9369177476709907, "learning_rate": 9.422492401215806e-05, "loss": 0.1996916227042675, "step": 310}
{"eval_acc": 0.918, "eval_f1": 0.917999671998688, "eval_mcc": 0.835999343997376, "eval_auc": 0.9689838759355037, "eval_precision": 0.917999671998688, "eval_recall": 0.917999671998688, "learning_rate": 9.726443768996962e-05, "loss": 0.2528033584356308, "step": 320}
{"eval_acc": 0.93, "eval_f1": 0.9299862773103529, "eval_mcc": 0.8602405303556954, "eval_auc": 0.9725038900155601, "eval_precision": 0.9302648590447142, "eval_recall": 0.9299757199028796, "learning_rate": 0.00010030395136778116, "loss": 0.23331789597868918, "step": 330}
{"eval_acc": 0.862, "eval_f1": 0.860821997385874, "eval_mcc": 0.7372384481901376, "eval_auc": 0.9652118608474433, "eval_precision": 0.8751652158060252, "eval_recall": 0.8621874487497949, "learning_rate": 0.00010334346504559271, "loss": 0.1990208998322487, "step": 340}
{"eval_acc": 0.848, "eval_f1": 0.8459985977767062, "eval_mcc": 0.7156474510827587, "eval_auc": 0.9693238772955092, "eval_precision": 0.8676802871924822, "eval_recall": 0.8482313929255717, "learning_rate": 0.00010638297872340425, "loss": 0.3853869453072548, "step": 350}
{"eval_acc": 0.915, "eval_f1": 0.9149379897945603, "eval_mcc": 0.8314183478767613, "eval_auc": 0.9743558974235896, "eval_precision": 0.9163617103235748, "eval_recall": 0.915057660230641, "learning_rate": 0.0001094224924012158, "loss": 0.27094737738370894, "step": 360}
{"eval_acc": 0.905, "eval_f1": 0.9047713560258179, "eval_mcc": 0.8142832664911752, "eval_auc": 0.9722078888315553, "eval_precision": 0.9091919191919192, "eval_recall": 0.9051016204064817, "learning_rate": 0.00011246200607902737, "loss": 0.21474449411034585, "step": 370}
{"eval_acc": 0.944, "eval_f1": 0.9439856603290443, "eval_mcc": 0.8883416195992341, "eval_auc": 0.9772399089596359, "eval_precision": 0.9443699329396458, "eval_recall": 0.9439717758871036, "learning_rate": 0.00011550151975683892, "loss": 0.23786166235804557, "step": 380}
{"eval_acc": 0.937, "eval_f1": 0.9369999369999371, "eval_mcc": 0.874001748005244, "eval_auc": 0.9798919195676783, "eval_precision": 0.937, "eval_recall": 0.9370017480069921, "learning_rate": 0.00011854103343465046, "loss": 0.16716617941856385, "step": 390}
{"eval_acc": 0.946, "eval_f1": 0.9459634713066033, "eval_mcc": 0.8930187557944511, "eval_auc": 0.9834719338877357, "eval_precision": 0.9470676691729323, "eval_recall": 0.9459517838071352, "learning_rate": 0.00012158054711246201, "loss": 0.14595023393630982, "step": 400}
{"eval_acc": 0.92, "eval_f1": 0.9198961854563514, "eval_mcc": 0.8424595008997733, "eval_auc": 0.9826959307837232, "eval_precision": 0.9223869911636119, "eval_recall": 0.9200756803027212, "learning_rate": 0.00012462006079027354, "loss": 0.29035879746079446, "step": 410}
{"eval_acc": 0.92, "eval_f1": 0.9198961854563514, "eval_mcc": 0.8424595008997733, "eval_auc": 0.9793439173756695, "eval_precision": 0.9223869911636119, "eval_recall": 0.9200756803027212, "learning_rate": 0.00012765957446808513, "loss": 0.2233023688197136, "step": 420}
{"eval_acc": 0.94, "eval_f1": 0.93981124807396, "eval_mcc": 0.8851532348004029, "eval_auc": 0.9678438713754857, "eval_precision": 0.9452778621317948, "eval_recall": 0.9398917595670382, "learning_rate": 0.00013069908814589666, "loss": 0.19548081662505865, "step": 430}
{"eval_acc": 0.945, "eval_f1": 0.9448782360233756, "eval_mcc": 0.8936075630667559, "eval_auc": 0.9805959223836894, "eval_precision": 0.9487058462829387, "eval_recall": 0.9449097796391186, "learning_rate": 0.00013373860182370822, "loss": 0.27884101644158366, "step": 440}
{"eval_acc": 0.958, "eval_f1": 0.9579863875895791, "eval_mcc": 0.9164637010651897, "eval_auc": 0.9814119256477026, "eval_precision": 0.9584960214007392, "eval_recall": 0.9579678318713275, "learning_rate": 0.00013677811550151975, "loss": 0.1611291505396366, "step": 450}
{"eval_acc": 0.956, "eval_f1": 0.9559913743093646, "eval_mcc": 0.9122582193072322, "eval_auc": 0.9825999303997216, "eval_precision": 0.9562824469341275, "eval_recall": 0.9559758239032956, "learning_rate": 0.0001398176291793313, "loss": 0.08721312899142504, "step": 460}
{"eval_acc": 0.955, "eval_f1": 0.9549945543410752, "eval_mcc": 0.9101438669053596, "eval_auc": 0.9846199384797539, "eval_precision": 0.9551620648259304, "eval_recall": 0.9549818199272797, "learning_rate": 0.00014285714285714287, "loss": 0.24338767305016518, "step": 470}
{"eval_acc": 0.966, "eval_f1": 0.9659693724351917, "eval_mcc": 0.9334572615463322, "eval_auc": 0.9851359405437622, "eval_precision": 0.9675147195164533, "eval_recall": 0.9659438637754552, "learning_rate": 0.0001458966565349544, "loss": 0.24906266182661058, "step": 480}
{"eval_acc": 0.95, "eval_f1": 0.9499030122316805, "eval_mcc": 0.9031759427988286, "eval_auc": 0.9837039348157393, "eval_precision": 0.9532663579836471, "eval_recall": 0.9499157996631986, "learning_rate": 0.00014893617021276596, "loss": 0.2510658115148544, "step": 490}
{"eval_acc": 0.958, "eval_f1": 0.9579326923076923, "eval_mcc": 0.9186446120428254, "eval_auc": 0.9876399505598022, "eval_precision": 0.9607250512115713, "eval_recall": 0.9579238316953268, "learning_rate": 0.00015197568389057752, "loss": 0.21738132126629353, "step": 500}
{"eval_acc": 0.956, "eval_f1": 0.9559992959887358, "eval_mcc": 0.912006240241544, "eval_auc": 0.9866799467197869, "eval_precision": 0.9560104163749894, "eval_recall": 0.955995823983296, "learning_rate": 0.00015501519756838908, "loss": 0.27174302339553835, "step": 510}
{"eval_acc": 0.955, "eval_f1": 0.9549671710677083, "eval_mcc": 0.9111305020935911, "eval_auc": 0.9848039392157568, "eval_precision": 0.9561815148160626, "eval_recall": 0.9549498197992792, "learning_rate": 0.0001580547112462006, "loss": 0.14949912186712028, "step": 520}
{"eval_acc": 0.896, "eval_f1": 0.8955722639933166, "eval_mcc": 0.7990422620749841, "eval_auc": 0.975239900959604, "eval_precision": 0.9029396806021768, "eval_recall": 0.896131584526338, "learning_rate": 0.00016109422492401217, "loss": 0.1888198299333453, "step": 530}
{"eval_acc": 0.95, "eval_f1": 0.9498939756524807, "eval_mcc": 0.9034883674296744, "eval_auc": 0.9902759611038444, "eval_precision": 0.9535840306482508, "eval_recall": 0.9499117996471986, "learning_rate": 0.0001641337386018237, "loss": 0.2576916590332985, "step": 540}
{"eval_acc": 0.951, "eval_f1": 0.9509465808265201, "eval_mcc": 0.9037265348361067, "eval_auc": 0.9874719498877995, "eval_precision": 0.9527906304222094, "eval_recall": 0.9509378037512151, "learning_rate": 0.00016717325227963529, "loss": 0.38857040032744405, "step": 550}
{"eval_acc": 0.963, "eval_f1": 0.9629970027572233, "eval_mcc": 0.9260883988440953, "eval_auc": 0.9864639458557833, "eval_precision": 0.9631025542538889, "eval_recall": 0.9629858519434078, "learning_rate": 0.00017021276595744682, "loss": 0.20597903355956076, "step": 560}
{"eval_acc": 0.962, "eval_f1": 0.9619876840096191, "eval_mcc": 0.9244683450873676, "eval_auc": 0.9829759319037276, "eval_precision": 0.9625006507522695, "eval_recall": 0.9619678478713914, "learning_rate": 0.00017325227963525835, "loss": 0.1355105245485902, "step": 570}
{"eval_acc": 0.942, "eval_f1": 0.9418427427764676, "eval_mcc": 0.8884314718910289, "eval_auc": 0.9810319241276965, "eval_precision": 0.9465438421335576, "eval_recall": 0.9418997675990703, "learning_rate": 0.0001762917933130699, "loss": 0.1352285916917026, "step": 580}
{"eval_acc": 0.947, "eval_f1": 0.9469018214678941, "eval_mcc": 0.8970040200417317, "eval_auc": 0.9851639406557626, "eval_precision": 0.9500918480800529, "eval_recall": 0.9469177876711508, "learning_rate": 0.00017933130699088147, "loss": 0.2776099264621735, "step": 590}
{"eval_acc": 0.947, "eval_f1": 0.946971948160577, "eval_mcc": 0.8951295721146931, "eval_auc": 0.9908559634238536, "eval_precision": 0.9480803771890436, "eval_recall": 0.9470497881991529, "learning_rate": 0.00018237082066869303, "loss": 0.19398192763328553, "step": 600}
{"eval_acc": 0.958, "eval_f1": 0.9579569479146646, "eval_mcc": 0.9176432402563685, "eval_auc": 0.9805919223676894, "eval_precision": 0.9597051064291136, "eval_recall": 0.9579398317593271, "learning_rate": 0.00018541033434650456, "loss": 0.16667762361466884, "step": 610}
{"eval_acc": 0.958, "eval_f1": 0.9579257810778212, "eval_mcc": 0.9189324936220804, "eval_auc": 0.9837519350077399, "eval_precision": 0.961017884253722, "eval_recall": 0.9579198316793267, "learning_rate": 0.00018844984802431612, "loss": 0.2224329926073551, "step": 620}
{"eval_acc": 0.966, "eval_f1": 0.965960650511992, "eval_mcc": 0.9339061312107685, "eval_auc": 0.9858779435117739, "eval_precision": 0.9679724881584181, "eval_recall": 0.965935863743455, "learning_rate": 0.00019148936170212768, "loss": 0.14835118176415563, "step": 630}
{"eval_acc": 0.952, "eval_f1": 0.9518796992481204, "eval_mcc": 0.9081773969829018, "eval_auc": 0.9738838955355823, "eval_precision": 0.9562841530054644, "eval_recall": 0.9519038076152304, "learning_rate": 0.00019452887537993924, "loss": 0.2110785808414221, "step": 640}
{"eval_acc": 0.94, "eval_f1": 0.9399759903961585, "eval_mcc": 0.8808630242854704, "eval_auc": 0.9818279273117092, "eval_precision": 0.9408196057846041, "eval_recall": 0.9400437601750407, "learning_rate": 0.00019756838905775077, "loss": 0.30977996438741684, "step": 650}
{"eval_acc": 0.959, "eval_f1": 0.9589996309966791, "eval_mcc": 0.9180011800283244, "eval_auc": 0.9883519534078137, "eval_precision": 0.9590033440535048, "eval_recall": 0.958997835991344, "learning_rate": 0.00019993251223215792, "loss": 0.1855918325483799, "step": 660}
{"eval_acc": 0.962, "eval_f1": 0.9619742946231653, "eval_mcc": 0.9250588950313863, "eval_auc": 0.9830759323037292, "eval_precision": 0.9631077694235589, "eval_recall": 0.9619518478073912, "learning_rate": 0.00019959507339294754, "loss": 0.133966669999063, "step": 670}
{"eval_acc": 0.967, "eval_f1": 0.9669880826978539, "eval_mcc": 0.9345356432933306, "eval_auc": 0.9848999395997584, "eval_precision": 0.9675699706820038, "eval_recall": 0.9669658678634714, "learning_rate": 0.00019925763455373713, "loss": 0.10916772186756134, "step": 680}
{"eval_acc": 0.965, "eval_f1": 0.9649873604371177, "eval_mcc": 0.9305330407659695, "eval_auc": 0.9816799267197068, "eval_precision": 0.9655673753184126, "eval_recall": 0.9649658598634394, "learning_rate": 0.00019892019571452675, "loss": 0.1778516048565507, "step": 690}
{"eval_acc": 0.912, "eval_f1": 0.9117029687869995, "eval_mcc": 0.8300366204112954, "eval_auc": 0.9810719242876972, "eval_precision": 0.9179373597978249, "eval_recall": 0.9121196484785938, "learning_rate": 0.00019858275687531634, "loss": 0.15089389351196586, "step": 700}
{"eval_acc": 0.964, "eval_f1": 0.963992942616753, "eval_mcc": 0.9282636620615512, "eval_auc": 0.9867159468637874, "eval_precision": 0.9642878585924084, "eval_recall": 0.9639758559034236, "learning_rate": 0.00019824531803610597, "loss": 0.1868974224664271, "step": 710}
{"eval_acc": 0.94, "eval_f1": 0.9397832195905258, "eval_mcc": 0.8859554027238836, "eval_auc": 0.9855159420637682, "eval_precision": 0.9460934045651653, "eval_recall": 0.9398837595350381, "learning_rate": 0.00019790787919689559, "loss": 0.23601417541503905, "step": 720}
{"eval_acc": 0.972, "eval_f1": 0.9719810591960165, "eval_mcc": 0.9450839820544708, "eval_auc": 0.9905599622398489, "eval_precision": 0.9731328320802005, "eval_recall": 0.9719518878075513, "learning_rate": 0.00019757044035768518, "loss": 0.18872173950076104, "step": 730}
{"eval_acc": 0.945, "eval_f1": 0.9449801378297565, "eval_mcc": 0.8907947012088837, "eval_auc": 0.9877799511198045, "eval_precision": 0.9457532051282052, "eval_recall": 0.9450417801671207, "learning_rate": 0.0001972330015184748, "loss": 0.17689961865544318, "step": 740}
{"eval_acc": 0.954, "eval_f1": 0.9539187126090424, "eval_mcc": 0.910905445166924, "eval_auc": 0.988379953519814, "eval_precision": 0.9569908061807595, "eval_recall": 0.9539198156792628, "learning_rate": 0.0001968955626792644, "loss": 0.14767150012776256, "step": 750}
{"eval_acc": 0.976, "eval_f1": 0.9759922214797594, "eval_mcc": 0.9524845991649906, "eval_auc": 0.990255961023844, "eval_precision": 0.9765168534826258, "eval_recall": 0.9759679038716155, "learning_rate": 0.000196558123840054, "loss": 0.1539898354560137, "step": 760}
{"eval_acc": 0.939, "eval_f1": 0.9389334985799536, "eval_mcc": 0.8801750789336145, "eval_auc": 0.9873959495837984, "eval_precision": 0.9411076819212036, "eval_recall": 0.9390697562790251, "learning_rate": 0.0001962206850008436, "loss": 0.18220417909324169, "step": 770}
{"eval_acc": 0.967, "eval_f1": 0.9669759254496528, "eval_mcc": 0.9351630641119385, "eval_auc": 0.9883799535198141, "eval_precision": 0.9682140507933452, "eval_recall": 0.9669498677994712, "learning_rate": 0.0001958832461616332, "loss": 0.15217824131250382, "step": 780}
{"eval_acc": 0.967, "eval_f1": 0.9669793621013134, "eval_mcc": 0.9349835900352986, "eval_auc": 0.9890719562878252, "eval_precision": 0.9680303419077555, "eval_recall": 0.9669538678154712, "learning_rate": 0.00019554580732242282, "loss": 0.11716502904891968, "step": 790}
{"eval_acc": 0.955, "eval_f1": 0.9549977948919497, "eval_mcc": 0.9100433454373336, "eval_auc": 0.9850999403997616, "eval_precision": 0.9550535277079899, "eval_recall": 0.9549898199592799, "learning_rate": 0.0001952083684832124, "loss": 0.13692385144531727, "step": 800}
{"eval_acc": 0.955, "eval_f1": 0.954938310547139, "eval_mcc": 0.9122253802484447, "eval_auc": 0.984315937263749, "eval_precision": 0.9572986361296963, "eval_recall": 0.9549298197192788, "learning_rate": 0.00019487092964400203, "loss": 0.20295762829482555, "step": 810}
{"eval_acc": 0.959, "eval_f1": 0.9589553023242311, "eval_mcc": 0.9197594359100703, "eval_auc": 0.9799019196076784, "eval_precision": 0.9608235331919542, "eval_recall": 0.958937835751343, "learning_rate": 0.00019453349080479163, "loss": 0.0954222995787859, "step": 820}
{"eval_acc": 0.969, "eval_f1": 0.968986322968429, "eval_mcc": 0.938673114953528, "eval_auc": 0.9870359481437926, "eval_precision": 0.9697115384615385, "eval_recall": 0.9689618758475034, "learning_rate": 0.00019419605196558125, "loss": 0.17995007745921612, "step": 830}
{"eval_acc": 0.965, "eval_f1": 0.9649781113195748, "eval_mcc": 0.9309789660480996, "eval_auc": 0.9865799463197853, "eval_precision": 0.9660257232664058, "eval_recall": 0.9649538598154392, "learning_rate": 0.00019385861312637087, "loss": 0.19163348339498043, "step": 840}
{"eval_acc": 0.973, "eval_f1": 0.9729831144465291, "eval_mcc": 0.9469974619968959, "eval_auc": 0.9910759643038571, "eval_precision": 0.9740441978318044, "eval_recall": 0.9729538918155672, "learning_rate": 0.00019352117428716046, "loss": 0.22977775558829308, "step": 850}
{"eval_acc": 0.967, "eval_f1": 0.9669682564944913, "eval_mcc": 0.9355674074524861, "eval_auc": 0.9899479597918391, "eval_precision": 0.968627057406664, "eval_recall": 0.966941867767471, "learning_rate": 0.00019318373544795008, "loss": 0.09613677957095206, "step": 860}
{"eval_acc": 0.91, "eval_f1": 0.9096748293857888, "eval_mcc": 0.8264189068378198, "eval_auc": 0.9827399309597239, "eval_precision": 0.9163184843206282, "eval_recall": 0.910123640494562, "learning_rate": 0.00019284629660873967, "loss": 0.13823371464386583, "step": 870}
{"eval_acc": 0.972, "eval_f1": 0.9719928301645221, "eval_mcc": 0.9443669486727718, "eval_auc": 0.9856359425437701, "eval_precision": 0.9723951556400761, "eval_recall": 0.9719718878875515, "learning_rate": 0.00019250885776952927, "loss": 0.23664110004901887, "step": 880}
{"eval_acc": 0.937, "eval_f1": 0.9367647014541107, "eval_mcc": 0.8801216015534836, "eval_auc": 0.9370477481909927, "eval_precision": 0.943262987012987, "eval_recall": 0.9368817475269902, "learning_rate": 0.0001921714189303189, "loss": 0.19810165837407112, "step": 890}
{"eval_acc": 0.966, "eval_f1": 0.9659912937712054, "eval_mcc": 0.9323615210141566, "eval_auc": 0.9796879187516749, "eval_precision": 0.9663897507756981, "eval_recall": 0.9659718638874555, "learning_rate": 0.00019183398009110848, "loss": 0.26788409948349, "step": 900}
{"eval_acc": 0.965, "eval_f1": 0.9649618434475143, "eval_mcc": 0.9317841117155429, "eval_auc": 0.9809679238716955, "eval_precision": 0.9668482102692629, "eval_recall": 0.9649378597514391, "learning_rate": 0.0001914965412518981, "loss": 0.2050837591290474, "step": 910}
{"eval_acc": 0.972, "eval_f1": 0.9719887955182073, "eval_mcc": 0.9446081413141678, "eval_auc": 0.9850999403997616, "eval_precision": 0.9726444986560594, "eval_recall": 0.9719638878555514, "learning_rate": 0.0001911591024126877, "loss": 0.11105397362262011, "step": 920}
{"eval_acc": 0.974, "eval_f1": 0.9739895958383353, "eval_mcc": 0.9486110404514465, "eval_auc": 0.9863219452877812, "eval_precision": 0.9746473908323618, "eval_recall": 0.9739638958555834, "learning_rate": 0.00019082166357347732, "loss": 0.14840968204662203, "step": 930}
{"eval_acc": 0.969, "eval_f1": 0.9689910384101005, "eval_mcc": 0.9384184691972588, "eval_auc": 0.9888039552158209, "eval_precision": 0.9694487154846563, "eval_recall": 0.9689698758795036, "learning_rate": 0.00019048422473426694, "loss": 0.13175902822986246, "step": 940}
{"eval_acc": 0.963, "eval_f1": 0.9629990749768744, "eval_mcc": 0.9260154849432092, "eval_auc": 0.9890999563998255, "eval_precision": 0.9630216333845366, "eval_recall": 0.9629938519754079, "learning_rate": 0.00019014678589505653, "loss": 0.06524891071021557, "step": 950}
{"eval_acc": 0.973, "eval_f1": 0.9729921947442811, "eval_mcc": 0.9464225843539198, "eval_auc": 0.9840999363997455, "eval_precision": 0.9734528156832597, "eval_recall": 0.9729698918795675, "learning_rate": 0.00018980934705584615, "loss": 0.1398680062033236, "step": 960}
{"eval_acc": 0.952, "eval_f1": 0.9518982166263814, "eval_mcc": 0.9075046745463408, "eval_auc": 0.9803559214236857, "eval_precision": 0.9556003629398124, "eval_recall": 0.9519118076472306, "learning_rate": 0.00018947190821663574, "loss": 0.10650985389947891, "step": 970}
{"eval_acc": 0.97, "eval_f1": 0.9699729756781104, "eval_mcc": 0.9414707676183011, "eval_auc": 0.9822999291997168, "eval_precision": 0.9715282209352261, "eval_recall": 0.9699438797755191, "learning_rate": 0.00018913446937742536, "loss": 0.16105355508625507, "step": 980}
