============================================================
<class 'transformers.tokenization_dna.DNATokenizer'>
finish loading examples
number of processes for converting feature: 8
1 processor started !
2 processor started !
3 processor started !
4 processor started !
5 processor started !
6 processor started !
7 processor started !
8 processor started !
finish loading examples
number of processes for converting feature: 2
1 processor started !
2 processor started !
{"eval_acc": 0.043434343434343436, "eval_top10acc": 0.31717171717171716, "eval_f1": 0.04074666487659507, "eval_mcc": 0.010589343239214434, "eval_auc": 0.48735315537823376, "eval_precision": 0.07631412670506067, "eval_recall": 0.04343434343434342, "learning_rate": 4.2735042735042735e-05, "loss": 3.4286717128753663, "step": 25}
{"eval_acc": 0.03333333333333333, "eval_top10acc": 0.3333333333333333, "eval_f1": 0.002150537634408602, "eval_mcc": 0.0, "eval_auc": 0.4891247902219689, "eval_precision": 0.0011111111111111111, "eval_recall": 0.03333333333333333, "learning_rate": 0.0001559546313799622, "loss": 3.4446391010284425, "step": 350}
{"eval_acc": 0.03333333333333333, "eval_top10acc": 0.3333333333333333, "eval_f1": 0.002150537634408602, "eval_mcc": 0.0, "eval_auc": 0.5028371489186535, "eval_precision": 0.0011111111111111111, "eval_recall": 0.03333333333333333, "learning_rate": 0.0001512287334593573, "loss": 3.4620335292816162, "step": 375}
{"eval_acc": 0.03333333333333333, "eval_top10acc": 0.3333333333333333, "eval_f1": 0.002150537634408602, "eval_mcc": 0.0, "eval_auc": 0.4923719958202717, "eval_precision": 0.0011111111111111111, "eval_recall": 0.03333333333333333, "learning_rate": 0.00014650283553875238, "loss": 3.464237632751465, "step": 400}
{"eval_acc": 0.03333333333333333, "eval_top10acc": 0.3333333333333333, "eval_f1": 0.002150537634408602, "eval_mcc": 0.0, "eval_auc": 0.49915033300613243, "eval_precision": 0.0011111111111111111, "eval_recall": 0.03333333333333333, "learning_rate": 0.00014177693761814746, "loss": 3.4340181446075437, "step": 425}
{"eval_acc": 0.03333333333333333, "eval_top10acc": 0.3333333333333333, "eval_f1": 0.002150537634408602, "eval_mcc": 0.0, "eval_auc": 0.4833934960894209, "eval_precision": 0.0011111111111111111, "eval_recall": 0.03333333333333333, "learning_rate": 0.00013705103969754255, "loss": 3.4527006340026856, "step": 450}
{"eval_acc": 0.03333333333333333, "eval_top10acc": 0.3333333333333333, "eval_f1": 0.002150537634408602, "eval_mcc": 0.0, "eval_auc": 0.48863346104725414, "eval_precision": 0.0011111111111111111, "eval_recall": 0.03333333333333333, "learning_rate": 0.00013232514177693763, "loss": 3.425913619995117, "step": 475}
{"eval_acc": 0.03333333333333333, "eval_top10acc": 0.3333333333333333, "eval_f1": 0.002150537634408602, "eval_mcc": 0.0, "eval_auc": 0.48599421593152, "eval_precision": 0.0011111111111111111, "eval_recall": 0.03333333333333333, "learning_rate": 0.00012759924385633272, "loss": 3.447608165740967, "step": 500}
{"eval_acc": 0.03333333333333333, "eval_top10acc": 0.3333333333333333, "eval_f1": 0.002150537634408602, "eval_mcc": 0.0, "eval_auc": 0.48836378413180914, "eval_precision": 0.0011111111111111111, "eval_recall": 0.03333333333333333, "learning_rate": 0.00012287334593572778, "loss": 3.439679718017578, "step": 525}
{"eval_acc": 0.03333333333333333, "eval_top10acc": 0.3333333333333333, "eval_f1": 0.002150537634408602, "eval_mcc": 0.0, "eval_auc": 0.4907993202664049, "eval_precision": 0.0011111111111111111, "eval_recall": 0.03333333333333333, "learning_rate": 0.00011814744801512288, "loss": 3.447817573547363, "step": 550}
{"eval_acc": 0.03333333333333333, "eval_top10acc": 0.3333333333333333, "eval_f1": 0.002150537634408602, "eval_mcc": 0.0, "eval_auc": 0.48739801357356216, "eval_precision": 0.0011111111111111111, "eval_recall": 0.03333333333333333, "learning_rate": 0.00011342155009451796, "loss": 3.4466667652130125, "step": 575}
{"eval_acc": 0.03333333333333333, "eval_top10acc": 0.3333333333333333, "eval_f1": 0.002150537634408602, "eval_mcc": 0.0, "eval_auc": 0.4887553697898525, "eval_precision": 0.0011111111111111111, "eval_recall": 0.03333333333333333, "learning_rate": 0.00010869565217391305, "loss": 3.4379332160949705, "step": 600}
{"eval_acc": 0.03333333333333333, "eval_top10acc": 0.3333333333333333, "eval_f1": 0.002150537634408602, "eval_mcc": 0.0, "eval_auc": 0.49223056056911857, "eval_precision": 0.0011111111111111111, "eval_recall": 0.03333333333333333, "learning_rate": 0.00010396975425330813, "loss": 3.4372361278533936, "step": 625}
{"eval_acc": 0.03333333333333333, "eval_top10acc": 0.3333333333333333, "eval_f1": 0.002150537634408602, "eval_mcc": 0.0, "eval_auc": 0.5003530603844083, "eval_precision": 0.0011111111111111111, "eval_recall": 0.03333333333333333, "learning_rate": 9.924385633270322e-05, "loss": 3.4379061126708983, "step": 650}
{"eval_acc": 0.03333333333333333, "eval_top10acc": 0.3333333333333333, "eval_f1": 0.002150537634408602, "eval_mcc": 0.0, "eval_auc": 0.4960287303547492, "eval_precision": 0.0011111111111111111, "eval_recall": 0.03333333333333333, "learning_rate": 9.45179584120983e-05, "loss": 3.4275575160980223, "step": 675}
{"eval_acc": 0.03333333333333333, "eval_top10acc": 0.3333333333333333, "eval_f1": 0.002150537634408602, "eval_mcc": 0.0, "eval_auc": 0.5012285868085241, "eval_precision": 0.0011111111111111111, "eval_recall": 0.03333333333333333, "learning_rate": 8.979206049149339e-05, "loss": 3.4333901023864746, "step": 700}
{"eval_acc": 0.03333333333333333, "eval_top10acc": 0.3333333333333333, "eval_f1": 0.002150537634408602, "eval_mcc": 0.0, "eval_auc": 0.5052515753142712, "eval_precision": 0.0011111111111111111, "eval_recall": 0.03333333333333333, "learning_rate": 8.506616257088847e-05, "loss": 3.425586700439453, "step": 725}
{"eval_acc": 0.03333333333333333, "eval_top10acc": 0.3333333333333333, "eval_f1": 0.002150537634408602, "eval_mcc": 0.0, "eval_auc": 0.509317311041449, "eval_precision": 0.0011111111111111111, "eval_recall": 0.03333333333333333, "learning_rate": 8.034026465028356e-05, "loss": 3.4371399116516113, "step": 750}
{"eval_acc": 0.03333333333333333, "eval_top10acc": 0.3333333333333333, "eval_f1": 0.002150537634408602, "eval_mcc": 0.0, "eval_auc": 0.5074031854596118, "eval_precision": 0.0011111111111111111, "eval_recall": 0.03333333333333333, "learning_rate": 7.561436672967865e-05, "loss": 3.4287057971954344, "step": 775}
{"eval_acc": 0.03333333333333333, "eval_top10acc": 0.3333333333333333, "eval_f1": 0.002150537634408602, "eval_mcc": 0.0, "eval_auc": 0.5063772521452772, "eval_precision": 0.0011111111111111111, "eval_recall": 0.03333333333333333, "learning_rate": 7.088846880907373e-05, "loss": 3.4169728565216064, "step": 800}
{"eval_acc": 0.03333333333333333, "eval_top10acc": 0.3333333333333333, "eval_f1": 0.002150537634408602, "eval_mcc": 0.0, "eval_auc": 0.5087093505588803, "eval_precision": 0.0011111111111111111, "eval_recall": 0.03333333333333333, "learning_rate": 6.616257088846882e-05, "loss": 3.4165073013305665, "step": 825}
{"eval_acc": 0.03333333333333333, "eval_top10acc": 0.3333333333333333, "eval_f1": 0.002150537634408602, "eval_mcc": 0.0, "eval_auc": 0.5118942824271978, "eval_precision": 0.0011111111111111111, "eval_recall": 0.03333333333333333, "learning_rate": 6.143667296786389e-05, "loss": 3.4128408336639406, "step": 850}
{"eval_acc": 0.03333333333333333, "eval_top10acc": 0.3333333333333333, "eval_f1": 0.002150537634408602, "eval_mcc": 0.0, "eval_auc": 0.5117079889807162, "eval_precision": 0.0011111111111111111, "eval_recall": 0.03333333333333333, "learning_rate": 5.671077504725898e-05, "loss": 3.417396936416626, "step": 875}
{"eval_acc": 0.03333333333333333, "eval_top10acc": 0.3333333333333333, "eval_f1": 0.002150537634408602, "eval_mcc": 0.0, "eval_auc": 0.5102171136653895, "eval_precision": 0.0011111111111111111, "eval_recall": 0.03333333333333333, "learning_rate": 5.1984877126654066e-05, "loss": 3.4193589973449705, "step": 900}
{"eval_acc": 0.03333333333333333, "eval_top10acc": 0.3333333333333333, "eval_f1": 0.002150537634408602, "eval_mcc": 0.0, "eval_auc": 0.509053439304223, "eval_precision": 0.0011111111111111111, "eval_recall": 0.03333333333333333, "learning_rate": 4.725897920604915e-05, "loss": 3.4157791137695312, "step": 925}
{"eval_acc": 0.03333333333333333, "eval_top10acc": 0.3333333333333333, "eval_f1": 0.002150537634408602, "eval_mcc": 0.0, "eval_auc": 0.5087937895147927, "eval_precision": 0.0011111111111111111, "eval_recall": 0.03333333333333333, "learning_rate": 4.253308128544424e-05, "loss": 3.422397060394287, "step": 950}
